Dataset,#Hours,#HoursBin,#Speakers,Style,Child_speech,Language,use_for_table,Public,DataBibentryId,Notes
AISHELL2,1000.0,1000,1991,Dictation,,Mandarin,yes,yes,aishell2,
AMI-IHM,100.0,100,155,Meetings,,English,yes,yes,carletta2007unleashing,
AMI-SDM,100.0,100,155,Meetings,,English,yes,yes,carletta2007unleashing,
APASCI,5.0,10,,Read,no,Italian,yes,yes,angelini1994speaker,
Aurora4,14.0,50,129,Read-Noisy,,English,yes,yes,parihar2004aurora,
CASIA,80.0,100,250,Mixed,,Mandarin,yes,yes,casia,
ChildIt,7.0,10,,Read,yes,Italian,yes,yes,giuliani2003investigating,
ChildIt+APASCI,12.0,50,,Child,,Italian,no,yes,,
Chime4,108.0,200,12,Read-Noisy,,English,yes,yes,vincent2017analysis,18 hours base x all microphones
CSJ,661.0,1000,,Conversational,,Japanese,yes,yes,maekawa2003corpus,
ETAPE,478.0,500,,Broadcast,,French,yes,yes,gravier2012etape,
Google-ALS,30.0,50,10,Medical,,English,yes,no,,
Google-Search,3000.0,5000,,VoiceSearch,,English,yes,no,,
Google-Pers.,1750.0,2000,,VoiceSearch,,English,yes,no,,
HKUST,200.0,200,2100,Conversational,,Mandarin,yes,yes,liu2006hkust,
MGB-200,200.0,200,10930,Broadcast,,English,no,no,bell2015mgb,"MGB-200 is a subset of MGB-700, we want to avoid double counting here"
MGB-700,700.0,1000,10930,Broadcast,,English,yes,no,bell2015mgb,
MSFT-Cortana,3400.0,5000,,VoiceSearch,,English,yes,no,,
MSFT-Meetings,3000.0,5000,,Meetings,,English,yes,no,,
MSFT-SMD,400.0,500,,Dictation,,English,yes,no,,
MSFT-SMD2,3400.0,5000,,Dictation,,English,yes,no,,
MSFT-Speaker,3400.0,5000,,VoiceSearch,,English,yes,no,,
Nuance-CloseTalk,7600.0,10000,,Dictation,,English,yes,no,,
Nuance-Dictation,7600.0,10000,,Dictation,,English,yes,no,,
RASC863+CASIA,262.0,500,1050,Accented,,Mandarin,no,yes,,
RASC863,180.0,200,800,Accented,,Mandarin,yes,yes,rasc,
SWBD,300.0,500,4000,Conversational,,English,yes,yes,Godfrey92:switchboard,
TED,140.0,200,788,Lectures,,English,yes,yes,cettolo2012wit3,
TED-LIUM,118.0,200,666,Lectures,,English,yes,yes,rousseau2012ted,
TED-LIUM2,207.0,500,1242,Lectures,,English,yes,yes,rousseau2014ted,
TED+AMI,240.0,500,943,Lectures,,English,no,yes,,
TIMIT,5.0,10,630,Read,,English,yes,yes,garofolo1993timit,
WSJ,81.0,50,129,Read,,English,yes,yes,paul1992design,
PF-STAR,14.0,50,,Child,yes,English,yes,yes,batliner2005pf_star,
AMI+PF-STAR,114.0,200,,Child,yes,English,no,yes,batliner2005pf_star,
Librispeech,1000.0,1000,2438,Read,,English,yes,yes,panayotov2015librispeech,
Intel Accented Mandarin Speech Recognition Corpus,403.0,500,1038,Accented,,Mandarin,yes,no,chen2015improving,
UTCRSS-4EnglishAccent,100.0,100,420,Accented,,English,yes,yes,ghorbani2018leveraging,
KoreanDisarthic,54.0,100,580,Medical,,Korean,yes,no,,
Bablel-Assamese-LLP,24.3,50,138,Conversational,no,Assamese,yes,yes,,
Babel-HaitianCreole-LLP,23.8,50,315,Conversational,no,Haitian Creole,yes,yes,,
Bablel-Assamese-FLP,154.0,200,790,Conversational,no,Assamese,yes,yes,,
Babel-HaitianCreole-FLP,138.8,200,760,Conversational,no,Haitian Creole,yes,yes,,
